aa,0.0280975689
ab,0.0051330443
ad,0.0146319286
ae,0.0436996841
ag,0.0209656649
ah,0.0239656747
ai,0.0005263779
al,0.0138475223
am,0.00827755
an,0.0232191126
ar,0.0205975444
as,0.021767273
at,0.0311560652
aw,0.0081192926
ax,0.0005160567
ay,0.0067913066
ba,0.0113872409
be,0.0177103874
bi,0.0097126877
bo,0.0104670035
by,0.0027523465
de,0.0100567279
do,0.0059436196
ed,0.0025223114
ef,0.001321352
eh,0.0036141467
el,0.0023870923
em,0.0014269178
en,0.0040026052
er,0.0035506886
es,0.0037523311
et,0.0053708094
ex,0.00008896
fa,0.0091519318
fe,0.0142338482
go,0.0043408458
ha,0.0175143612
he,0.0272397962
hi,0.0149387829
hm,0.0051597347
ho,0.0160989726
id,0.0079276248
if,0.0041530092
im,0.0044848026
in,0.0125801881
is,0.0117935768
it,0.0168804539
jo,0.0014046532
ka,0.0016710328
ki,0.0014252987
la,0.0065509329
li,0.005587584
lo,0.0060215322
ma,0.0105928949
me,0.0164749542
mi,0.0090351544
mm,0.0031206692
mo,0.009736851
mu,0.0035772259
my,0.0025603495
na,0.0057275255
ne,0.0089079256
no,0.0052646668
nu,0.0019341882
od,0.0078998794
oe,0.0235937615
of,0.0041384743
oh,0.0113195074
oi,0.0129392334
om,0.0044691065
on,0.0125361594
op,0.0035830866
or,0.0111207566
os,0.0117523012
ow,0.0043836622
ox,0.0002786226
oy,0.0036666734
pa,0.0061634471
pe,0.0095859073
pi,0.00525708
qi,0.0003573575
re,0.0062261315
sh,0.0140138537
si,0.016019118
so,0.0172632097
ta,0.0403736055
ti,0.034436456
to,0.0371108922
uh,0.0026871181
um,0.0010609134
un,0.0029759369
up,0.0008505827
us,0.0027898582
ut,0.0039931968
we,0.0250890878
wo,0.0148278839
xi,1.03282514558338E-005
xu,4.08919286752649E-006
ya,0.0039232944
ye,0.0061018349
yo,0.0036062411
za,0.0001210893
